tag,essentia_key,essentia_scale,essentia_key_strength,status
roselia__605,Bb,major,0.655032277107,success
roselia__606,F#,minor,0.62801271677,success
roselia__607,F,major,0.714414060116,success
roselia__608,D,minor,0.654464960098,success
roselia__609,A,major,0.614076733589,success
roselia__610,F,major,0.701206803322,success
roselia__611,F,major,0.702631652355,success
roselia__612,E,major,0.710423648357,success
roselia__613,G,minor,0.611355066299,success
roselia__614,A,major,0.546636581421,success
roselia__615,D,minor,0.713217794895,success
roselia__616,G,major,0.883145928383,success
roselia__617,Bb,major,0.798345327377,success
roselia__618,C,major,0.869402110577,success
roselia__619,A,major,0.818848848343,success
roselia__620,A,major,0.757990658283,success
